taxa;Taxon;Pathogen;Pathogenicity;Origin;Origin_verbatim;Origin_verbatim;Origin_details;;;"""=SE(CONTA.SE(G:G; J13)=0; ""NUOVO""; """")""";DATI FILTRA NUOVO - COPIA;
;Abditibacterium;N;N;E;Environmental;Soil, Antarctic;Soil, extreme environments;;;;;
;Abiotrophia;P;2;W;Anthropogenic;Human, Oral cavity, gut;Human-associated;;;"""=FILTRO(A2:E4568; CONTA.SE(F2:F922; A2:A4568))""";;
;Abiotrophia defectiva;P;2;W;Anthropogenic;Human, Oral cavity;Endocarditis cases;;;;;
;Absconditabacteriales (SR1);N;N;O;Environmental;Groundwater, anaerobic;Subsurface aquatic;;;;;
;Abyssivirga;N;N;E;Environmental;Hydrothermal vents;Deep-sea vents;;;;;
G;Acanthopleuribacter;PP;1;O;Environmental;Marine invertebrates;Coral, sponge symbionts;;;;;
;Acaricomes;N;N;O;Environmental;Soil, compost;Terrestrial soils;;;;;
;Acaryochloris MBIC11017;N;N;E;Environmental;Marine, Cyanobacteria;Coral symbionts, phototrophic;;;;;
;Acetanaerobacterium;N;N;W;Ubiquitous;Anaerobic digester, gut;Digesters, ruminants;;;;;
;Acetitomaculum;N;N;E;Environmental;Ruminant, Gut;Livestock gut;;;;;
;Acetivibrio ethanolgignens group;P;2;O;Ubiquitous;Rumen, Anaerobic digester;Fermenters;;;;;
;Acetoanaerobium;N;N;O;Environmental;Anaerobic Sediment;Sediment microbiota;;;;;
;Acetobacter;N;N;W;Anthropogenic;Vinegar, Fermented food;Fermentation;;;;;
;Acetobacteraceae;N;N;W;Anthropogenic;Fermentation;Food, beverage industry;;;;;
;Acetobacterales;N;N;W;Anthropogenic;Fermentation;Food, beverage industry;;;;;
G;Acetobacterium;PP;1;E;Environmental;Anaerobic Freshwater Sediment;Sediment bacteria;;;;;
;Acetobacteroides;N;N;W;Ubiquitous;Gut;Animal gut;;;;;
G;Acetomicrobium;PP;1;W;Ubiquitous;Anaerobic digester, Sediment;Digesters, sediments;;;;;
;Acetonema;N;N;E;Environmental;Anaerobic Sediment;Sediment bacteria;;;;;
;Acetothermia KB1 group;N;N;O;Ubiquitous;Anaerobic bioreactors, Sediment;Bioreactors, sediments;;;;;
;AcetothermiaN AOM-SR-B11;N;N;E;Environmental;Anaerobic, Marine Sediment;Marine sediments;;;;;
;Acetothermiia;N;N;E;Environmental;Anaerobic Sediment;Sediment bacteria;;;;;
;Acetothermiia KB1 group;N;N;W;Ubiquitous;Anaerobic bioreactors;Bioreactors;;;;;
G;Acholeplasma;PP;1;W;Anthropogenic;Animal gut,  mucosa;Human, animal-associated;;;;;
;Acholeplasmataceae;N;N;O;Ubiquitous;Gut,  animal;Animal gut;;;;;
;Acholeplasmataceae DMI;N;N;O;Ubiquitous;Gut,  animal;Animal gut;;;;;
;Acholeplasmataceae EMP-G18;N;N;O;Ubiquitous;Gut,  animal;Animal gut;;;;;
;Acholeplasmataceae T2WK15B57;N;N;O;Ubiquitous;Gut,  animal;Animal gut;;;;;
;Achromatium;N;N;E;Environmental;Freshwater Sediment;Sediment bacteria;;;;;
;Achromobacter;P;2;O;Ubiquitous;Soil, Water, opportunistic pathogen;Soil, water, clinical;;;;;
;Achromobacter xylosoxidans;P;2;W;Anthropogenic;Water systems, Clinical infections;Hospitals, water systems;;;;;
G;Acidaminobacter;PP;1;E;Environmental;Ruminant, Gut;Livestock gut;;;;;
F;Acidaminococcaceae;PP;N;W;Anthropogenic;Gut;Human, animal gut;;;;;
;Acidaminococcus;P;2;W;Anthropogenic;Human, Gut;Human gut;;;;;
;Acidaminococcus intestini;P;2;W;Anthropogenic;Human, Gut;Human gut;;;;;
;Acidibacillus;N;N;E;Environmental;Acidic soils, mining sites;Soil microbiota;;;;;
G;Acidibacter;PP;1;E;Environmental;Acidic Freshwater Sediment;Aquatic sediments;;;;;
;Acidicaldus;N;N;O;Ubiquitous;Acid mine drainage;Mining environments;;;;;
;Acidicapsa;N;N;E;Environmental;Acidic soils;Soil bacteria;;;;;
;Acidiferrimicrobium;N;N;O;Ubiquitous;Acid mine drainage;Mining environments;;;;;
;Acidiferrobacteraceae;N;N;E;Ubiquitous;Acidic, Environment;Mine waters, sediments;;;;;
;Acidimangrovimonas;N;N;E;Environmental;Mangrove, Sediment;Mangrove ecosystems;;;;;
;Acidimicrobiaceae;N;N;E;Environmental;Soils, Freshwater;Soil, freshwater;;;;;
;Acidimicrobiia;N;N;E;Environmental;Freshwater, soil;Soil, freshwater;;;;;
;Acidimicrobiia IMCC26256;N;N;E;Environmental;Marine;Ocean waters;;;;;
;Acidiphilium;N;N;O;Ubiquitous;Acidic, Water;Acidic lakes, mine waters;;;;;
;Acidipila-Silvibacterium;N;N;E;Environmental;Acidic forest, Soil;Forest soils;;;;;
;Acidisoma;N;N;E;Environmental;Acidic, Soil;Soil bacteria;;;;;
;Acidithiobacillaceae 9M32;N;N;O;Ubiquitous;Acid mine drainage;Industrial mining;;;;;
;Acidithiobacillaceae KCM-B-112;N;N;O;Ubiquitous;Acid mine drainage;Industrial mining;;;;;
;Acidithiobacillaceae RCP1-48;N;N;O;Ubiquitous;Acid mine drainage;Industrial mining;;;;;
G;Acidithiobacillus;PP;1;O;Ubiquitous;Acid mine drainage, industrial leaching;Mining, industrial sites;;;;;
;Acidobacteriaceae (Subgroup 1);N;N;E;Environmental;Soils;Terrestrial soils, acidic soils;;;;;
;Acidobacteriaceae Subgroup 1;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriae;N;N;E;Environmental;Soils;Widespread in soils;;;;;
;Acidobacteriae AKIW659;N;N;E;Environmental;Soils;Soil ecosystems;;;;;
;Acidobacteriae Elev-16S-1166;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriae PAUC26f;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriae Subgroup 12;N;N;E;Environmental;Soils;Soil ecosystems;;;;;
;Acidobacteriae Subgroup 13;N;N;E;Environmental;Soils;Soil ecosystems;;;;;
;Acidobacteriae Subgroup 15;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriae Subgroup 2;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriales;N;N;E;Environmental;Soils;Common soil bacteria;;;;;
;Acidobacteriota;N;N;E;Environmental;Soils, Freshwater;Soil, sediment microbiomes;;;;;
;Acidobacteriota 11-24;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriota 11B-2;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriota AKIW659;N;N;E;Environmental;Soils;Soil ecosystems;;;;;
;Acidobacteriota AT-s3-28;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriota c5LKS83;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriota d142;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriota DS-100;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriota Elev-16S-1166;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriota Elev-16S-573;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriota ODP123;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriota ODP1230B23.02;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriota OLB17;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriota RB41;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriota Subgroup 10;N;N;E;Environmental;Soils;Soil ecosystems;;;;;
;Acidobacteriota Subgroup 11;N;N;E;Environmental;Soils;Soil ecosystems;;;;;
;Acidobacteriota Subgroup 17;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriota Subgroup 18;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriota Subgroup 20;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriota Subgroup 21;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriota Subgroup 22;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriota Subgroup 23;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriota Subgroup 25;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriota Subgroup 26;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriota Subgroup 5;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriota Subgroup 7;N;N;E;Environmental;Soils;Soil microbiota;;;;;
;Acidobacteriota TSBb06;N;N;E;Environmental;Soils;Soil microbiota;;;;;
G;Acidocella;PP;1;E;Environmental;Acidic soils, Freshwater;Acidic soils, bogs;;;;;
;Acidothermus;N;N;E;Environmental;Soil, hot springs;Thermophilic soils;;;;;
;Acidovorax;P;2;O;Ubiquitous;Soil, Water, Plant;Plant-associated, some strains pathogenic;;;;;
S;Acidovorax caeni;N;1;W;Anthropogenic;Wastewater;Activated sludge;;;;;
;Acidovorax carolinensis;N;N;E;Environmental;Soil;Soil microbiota;;;;;
S;Acidovorax defluvii;N;1;W;Anthropogenic;Wastewater;Sewage, activated sludge;;;;;
;Acidovorax ebreus;N;N;E;Environmental;Soil, Groundwater;Subsurface bacteria;;;;;
S;Acidovorax radicis;N;1;E;Environmental;Plant, Rhizosphere;Plant roots;;;;;
S;Acidovorax soli;N;1;E;Environmental;Soil;Soil microbiota;;;;;
;Acidovorax sp GW101 3H11;P;2;E;Environmental;Soil;Soil microbiota;;;;;
;Acidovorax sp KKS102;P;2;E;Environmental;Soil;Soil microbiota;;;;;
;Acidovorax sp MR S7;P;2;E;Environmental;Soil;Soil microbiota;;;;;
;Acidovorax sp NO 1;P;2;E;Environmental;Soil;Soil microbiota;;;;;
;Acidovorax sp RAC01;P;2;E;Environmental;Soil;Soil microbiota;;;;;
S;Acidovorax temperans;N;1;O;Ubiquitous;Soil, Freshwater, Plant;Plant-associated, soil bacteria;;;;;
;Acinetobacter;P;2;O;Ubiquitous;Soil, Water, hospitals;Opportunistic pathogen, environmental;;;;;
S;Acinetobacter albensis;N;1;E;Environmental;Soil, Water;Environmental isolates;;;;;
S;Acinetobacter bohemicus;N;1;E;Environmental;Soil;Soil microbiota;;;;;
S;Acinetobacter celticus;N;1;E;Environmental;Soil, Freshwater;Environmental;;;;;
;Acinetobacter haemolyticus;P;2;W;Anthropogenic;Human, Clinical;Opportunistic pathogen;;;;;
;Acinetobacter idrijaensis;N;N;E;Environmental;Soil;Soil microbiota;;;;;
;Acinetobacter indicus;P;2;W;Environmental;Soil, Water;Environmental isolates;;;;;
;Acinetobacter johnsonii;P;2;O;Ubiquitous;Soil, Water, Clinical;Opportunistic pathogen;;;;;
;Acinetobacter junii;P;2;O;Ubiquitous;Soil, Water, Clinical;Opportunistic pathogen;;;;;
;Acinetobacter kyonggiensis;P;2;W;Environmental;Soil;Soil isolate;;;;;
;Acinetobacter lwoffii;P;2;O;Ubiquitous;Soil, Water, Clinical;Opportunistic pathogen;;;;;
;Acinetobacter parvus;P;2;W;Environmental;Soil, Water;Environmental;;;;;
;Acinetobacter sp ANC 4218;P;2;W;Environmental;Soil, Water;Environmental;;;;;
;Acinetobacter sp SFB;P;2;W;Environmental;Soil, Water;Environmental;;;;;
;Acinetobacter tjernbergiae;P;2;W;Environmental;Soil;Soil microbiota;;;;;
;Acinetobacter towneri;P;2;O;Ubiquitous;Soil, Clinical;Opportunistic pathogen;;;;;
;Acinetobacter ursingii;P;2;W;Anthropogenic;Clinical;Opportunistic pathogen;;;;;
;Acrophormium PCC-7375;N;N;E;Environmental;Freshwater;Cyanobacteria, planktonic;;;;;
;Actibacter;N;N;E;Environmental;Marine;Marine microbiota;;;;;
;Actibacterium;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Actinoallomurus;N;N;E;Environmental;Soil;Soil actinobacteria;;;;;
;Actinobacillus;P;2;E;Environmental;Animal Oral,  gut;Pathogen, livestock-associated;;;;;
;Actinobacteria;N;N;E;Environmental;Soil, Freshwater, Marine;Major phylum, ubiquitous in soil;;;;;
;Actinobacteria 0319-7L14;N;N;E;Environmental;Soil;Soil microbiota;;;;;
;Actinobacteria Elev-16S-976;N;N;E;Environmental;Soil;Soil microbiota;;;;;
;Actinobacteria FFCH16263;N;N;E;Environmental;Soil;Soil microbiota;;;;;
;Actinobacteria KIST-JJY010;N;N;E;Environmental;Soil;Soil microbiota;;;;;
;Actinobacteria PeM15;N;N;E;Environmental;Soil;Soil microbiota;;;;;
;Actinobacteriota;N;N;E;Environmental;Soil, Freshwater, Marine;Phylum-level group, widely distributed;;;;;
;Actinobacteriota 67-14;N;N;E;Environmental;Soil;Soil microbiota;;;;;
;Actinobacteriota AKAU3644;N;N;E;Environmental;Soil;Soil microbiota;;;;;
;Actinobacteriota CL500-29 marine group;N;N;E;Environmental;Freshwater;Planktonic freshwater bacteria;;;;;
;Actinobacteriota E1B-B3-114;N;N;E;Environmental;Soil;Soil microbiota;;;;;
;Actinobacteriota Elev-16S-976;N;N;E;Environmental;Soil;Soil microbiota;;;;;
;Actinobacteriota hgcI clade;N;N;E;Environmental;Freshwater;Planktonic freshwater bacteria;;;;;
;Actinobacteriota IMCC26207;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Actinobacteriota IMCC26256;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Actinobacteriota JCM 18997;N;N;E;Environmental;Soil;Soil isolate;;;;;
;Actinobacteriota JGI 0001001-H03;N;N;E;Environmental;Soil;Soil microbiota;;;;;
;Actinobacteriota KIST-JJY010;N;N;E;Environmental;Soil;Soil microbiota;;;;;
;Actinobacteriota MB-A2-108;N;N;E;Environmental;Soil;Soil actinobacteria;;;;;
;Actinobacteriota MB-A2-108;N;N;E;Environmental;Soil;Soil microbiota;;;;;
;Actinobacteriota PeM15;N;N;E;Environmental;Soil;Soil microbiota;;;;;
;Actinobacteriota RBG-16-55-12;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Actinobacteriota Sva0996 marine group;N;N;E;Environmental;Soil;Soil microbiota;;;;;
;Actinobacteriota WCHB1-81;N;N;E;Environmental;Soil;Soil actinobacteria;;;;;
;Actinobacterium acAMD 5;N;N;W;Anthropogenic;Animal gut,  skin;Human, livestock-associated;;;;;
;Actinobaculum;P;2;E;Environmental;Soil;Soil actinobacteria;;;;;
;Actinocatenispora;N;N;E;Environmental;Soil;Soil actinobacteria;;;;;
;Actinocorallia;N;N;E;Environmental;Soil;Soil actinobacteria;;;;;
;Actinomadura;P;2;E;Environmental;Marine;Marine actinobacteria;;;;;
;Actinomarinales;N;N;W;Anthropogenic;Human, Oral,  gut;Potential opportunistic pathogen;;;;;
;Actinomyces;P;2;W;Anthropogenic;Human, Oral cavity;Oral microbiome;;;;;
;Actinomyces sp oral taxon 897;P;2;O;Ubiquitous;Soil, Human;Soil, host-associated;;;;;
;Actinomycetaceae;N;N;E;Environmental;Soil;Soil actinobacteria;;;;;
;Actinomycetospora;N;N;E;Environmental;Soil, Freshwater, Marine;Phylum-level group;;;;;
;Actinomycetota;N;N;E;Environmental;Soil;Soil actinobacteria;;;;;
;Actinomycetota MB-A2-108;N;N;E;Environmental;Soil;Soil actinobacteria;;;;;
;Actinomycetota WCHB1-81;N;N;O;Ubiquitous;Soil;Soil actinobacteria;;;;;
;Actinophytocola;N;N;E;Environmental;Soil;Soil actinobacteria;;;;;
G;Actinoplanes;PP;1;E;Environmental;Soil;Soil actinobacteria;;;;;
;Actinopolymorpha;N;N;E;Environmental;Soil;Soil actinobacteria;;;;;
;Actinopolyspora;N;N;E;Environmental;Soil, saline environments;Halophilic soil bacteria;;;;;
;Actinospica;N;N;E;Environmental;Soil;Soil actinobacteria;;;;;
;Acutalibacter;N;N;E;Environmental;Gut;Animal gut-associated;;;;;
;Acuticoccus;N;N;E;Environmental;Freshwater, soil;Environmental;;;;;
;Adhaeribacter;N;N;E;Environmental;Soil, Freshwater;Environmental bacteria;;;;;
G;Adlercreutzia;PP;1;W;Anthropogenic;Gut;Human, animal gut;;;;;
;Advenella;N;N;E;Environmental;Soil, Freshwater;Environmental bacteria;;;;;
;Aequorivita;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
S;Aequorivita vladivostokensis;N;1;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Aeribacillus;N;N;E;Environmental;Soil, hot springs;Thermophilic soil bacteria;;;;;
;Aeriscardovia;N;N;E;Environmental;Gut;Animal gut-associated;;;;;
F;Aerococcaceae;PP;N;O;Ubiquitous;Skin, Oral cavity;Human, animal microbiome;;;;;
;Aerococcus;P;2;O;Ubiquitous;Human,  animal;Opportunistic pathogen;;;;;
G;Aeromicrobium;PP;1;E;Environmental;Soil;Soil actinobacteria;;;;;
S;Aeromicrobium ginsengisoli;N;1;E;Environmental;Soil;Soil microbiota;;;;;
S;Aeromicrobium panaciterrae;N;1;E;Environmental;Soil;Soil microbiota;;;;;
F;Aeromonadaceae;PP;N;E;Environmental;Freshwater, Marine;Aquatic bacteria;;;;;
;Aeromonas;P;2;O;Ubiquitous;Freshwater, Clinical;Opportunistic pathogen in humans, animals;;;;;
;Aeromonas allosaccharophila;P;2;E;Environmental;Freshwater;Aquatic environments;;;;;
;Aeromonas bestiarum;P;2;O;Ubiquitous;Freshwater, Fish;Fish pathogen;;;;;
;Aeromonas caviae;P;2;O;Ubiquitous;Clinical, Water;Opportunistic pathogen;;;;;
;Aeromonas hydrophila;P;2;O;Ubiquitous;Freshwater, Clinical;Fish, human pathogen;;;;;
;Aeromonas intestinalis;N;N;W;Anthropogenic;Gut;Human, animal gut;;;;;
;Aeromonas jandaei;P;2;O;Ubiquitous;Water, Clinical;Opportunistic pathogen;;;;;
;Aeromonas media;P;2;E;Environmental;Water, soil;Environmental bacteria;;;;;
S;Aeromonas popoffii;N;1;E;Environmental;Water;Aquatic environments;;;;;
S;Aeromonas rivipollensis;N;1;E;Environmental;Freshwater;Aquatic bacteria;;;;;
;Aeromonas salmonicida;P;2;E;Environmental;Freshwater, Fish;Fish pathogen;;;;;
;Aeromonas sobria;P;2;O;Ubiquitous;Water, Clinical;Opportunistic pathogen;;;;;
;Aeromonas sp HMWF014;P;2;E;Environmental;Water;Environmental isolate;;;;;
S;Aeromonas taiwanensis;N;1;O;Ubiquitous;Water, Clinical;Opportunistic pathogen;;;;;
;Aeromonas veronii;P;2;O;Ubiquitous;Water, Clinical;Opportunistic pathogen;;;;;
;Aerophobus;N;N;E;Environmental;Soil;Soil bacterium;;;;;
;Aerosphaera;N;N;E;Environmental;Soil, Freshwater;Environmental bacterium;;;;;
;Aestuariibacter;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Aestuariibius;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Aestuariicella;N;N;E;Environmental;Marine;Marine bacteria;;;;;
G;Aestuariicoccus;PP;1;E;Environmental;Marine;Marine bacteria;;;;;
;Aestuariihabitans;N;N;E;Environmental;Marine;Marine bacteria;;;;;
;Aestuariimicrobium;N;N;E;Environmental;Marine;Marine bacteria;;;;;
;Aestuariimonas;N;N;E;Environmental;Marine;Marine bacteria;;;;;
;Aestuariispira;N;N;E;Environmental;Marine;Marine bacteria;;;;;
;Aestuariivita;N;N;E;Environmental;Marine;Marine bacteria;;;;;
;Aetherobacter;N;N;E;Environmental;Soil;Soil actinobacteria;;;;;
;Afipia;P;2;O;Ubiquitous;Soil, Water, Clinical;Opportunistic pathogen;;;;;
;Afipia felis;P;2;W;Anthropogenic;Clinical;Human pathogen;;;;;
;Agaribacter;N;N;E;Environmental;Marine;Marine bacteria;;;;;
G;Agaribacterium;PP;1;E;Environmental;Marine;Marine bacteria;;;;;
;Agarilytica;N;N;E;Environmental;Marine;Marine bacteria;;;;;
;Agarivorans;N;N;E;Environmental;Marine;Marine bacteria, agar-degrading;;;;;
S;Agarivorans aestuarii;N;1;E;Environmental;Marine, estuarine;Estuarine bacteria;;;;;
S;Agarivorans albus;N;1;E;Environmental;Marine;Marine bacterium;;;;;
;Agathobacter;N;N;O;Ubiquitous;Human, Gut;Human, animal gut;;;;;
S;Agathobaculum butyriciproducens;N;1;O;Ubiquitous;Gut;Human, animal gut;;;;;
;Aggregatilinea;N;N;E;Environmental;Anaerobic sediment;Sediment bacteria;;;;;
;Aggregatilineaceae;N;N;E;Environmental;Sediment;Anaerobic sediment bacteria;;;;;
;Aggregatilineales;N;N;E;Environmental;Sediment;Anaerobic sediment bacteria;;;;;
;Aggregatilineales A4b;N;N;E;Environmental;Sediment;Sediment bacteria;;;;;
;Aggregicoccus;N;N;E;Environmental;Soil;Soil bacterium;;;;;
;Agitococcus;P;2;E;Environmental;Soil, Freshwater;Environmental bacterium;;;;;
;Agitococcus lubricus;P;2;E;Environmental;Soil, Freshwater;Environmental bacterium;;;;;
;Agitococcus lubricus group;P;2;E;Environmental;Soil, Freshwater;Environmental bacterium;;;;;
;Agreia;N;N;E;Environmental;Soil;Soil actinobacteria;;;;;
G;Agrobacterium;PP;1;E;Environmental;Soil, Plant;Plant-associated, some pathogenic;;;;;
;Agrococcus;N;N;E;Environmental;Soil;Soil actinobacteria;;;;;
G;Agromyces;PP;1;E;Environmental;Soil, rhizosphere;Soil, plant-associated;;;;;
;Ahniella;N;N;E;Environmental;Soil;Soil actinobacteria;;;;;
;Ahrensia;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Akkermansia;N;N;O;Ubiquitous;Gut;Human, animal gut;;;;;
S;Akkermansia muciniphila;N;1;W;Anthropogenic;Human, Gut;Mucin-degrading gut bacterium;;;;;
;Albimonas;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Albirhodobacter;N;N;E;Environmental;Marine;Marine bacterioplankton;;;;;
;Alcaligenaceae;N;N;E;Ubiquitous;Soil, Water, gut;Environmental, host-associated;;;;;
;Alcaligenaceae GKS98 freshwater group;N;N;E;Environmental;Freshwater;Freshwater bacterioplankton;;;;;
